title,location,year,month,day,event
Huai River,32.4103 115.404,-486,0,0,"The first part of the Grand Canal of China is built during the reign of King Fuchai of Wu. It links the Yangtze River with the Huai River, and is a measure to ship amble amount of supplies north for intended wars with the northern states of Song and Lu."
Tehran,35.690997236 51.420498318,-486,0,0,"The construction of a relief in the Apadana, a ceremonial complex at Persepolis, is finished. It shows Darius and Xerxes receiving tribute and is now kept in the Iranbustan Museum in Tehran."
Persian Gulf,26.902829722 51.541831166,-485,0,0,"Darius I, one of the greatest rulers of the Achaemenid dynasty of Persia, dies and is succeeded by his son, Xerxes I. During this time the Persian empire extends as far west as Macedonia and Libya and as far east as the Hyphasis (Beas) River; it stretches to the Caucasus Mountains and the Aral Sea in the north and to the Persian Gulf and the Arabian Desert in the south."
Babylon,32.535164526 44.41916499,-484,0,0,"Despite an attempt at rebellion, the land and city of Babylon remains solidly under Persian rule."
Mount Athos,40.154332716 24.32249871,-483,0,0,"Xerxes I of Persia is encouraged by his cousin and brother-in-law, Mardonius, supported by a strong party of exiled Greeks, to take revenge for the defeat that Darius I suffered at the hands of the Greeks at Marathon in 490 BC. In response, Xerxes prepares for a major expedition to crush the Greeks. To avoid a repeat of the significant losses to the Persian fleet that occurred in 492 BC, Xerxes has a canal cut through the promontory of Mount Athos."
Megara Hyblaea,37.2039 15.1819,-483,0,0,"Gelo, the tyrant of Syracuse conquers the nearby Sicilian cities of Euboea and Megara Hyblaea, selling their common people into slavery and bringing their oligarchs to Syracuse."
Sardis,38.486331388 28.03749985,-481,0,0,The Persian King Xerxes I arrives at Sardis and begins to build up his great army and navy for the invasion of Greece. Egypt contributes 481 ships.
Crete,35 25,-481,0,0,"The Congress at the Isthmus of Corinth, under the presidency of Sparta, brings together a number of the Greek city states, who agree to the end of the war between Athens and Aegina. They also discuss the threat from the Persians. Athens is unwilling to place her forces under Sparta and its king Leonidas. Gelo, tyrant of Syracuse, wants high command, but Sparta and Athens refuse. However, during the Congress, Gelo has to withdraw due to Carthage's plans to invade Sicily. Finally, Themistocles agrees that Athens' navy serve under a Spartan admiral to achieve the unity of the Greek states. Nevertheless, Thebes and Thessaly are unwilling to support Athens against the Persians and Crete decides to remain neutral."
Sardis,38.486331388 28.03749985,-480,0,0,May &ndash; King Xerxes I of Persia marches from Sardis and onto Thrace and Macedonia.
Vale of Tempe,39.870329852 22.541331168,-480,0,0,"The Greek congress decides to send a force of 10,000 Greeks, including hoplites and cavalry, to the Vale of Tempe, through which they believe the Persian army will pass. The force includes Lacedaemonians led by Euanetos and Athenians under Themistocles. Warned by Alexander I of Macedon that the vale can be bypassed elsewhere and that the army of Xerxes is overwhelming, the Greeks decide not to try to hold there and vacate the vale."
Thermopylae,38.803163454 22.557664436,-480,0,0,"A member of the Agiad royal family, and the son of King Cleombrotus and nephew of King Leonidas, Pausanias becomes regent for Leonidas' son, Pleistarchus, after Leonidas I is killed at Thermopylae."
Boeotia,38.8999964 22.5333312,-480,0,0,Phocis and the coasts of Euboea are devastated by the Persians. Thebes and most of Boeotia join Xerxes.
Aegina,37.749997 23.4333316,-480,0,0,"The Athenian soldier and statesman, Aristides, as well as the former Athenian archon Xanthippus, return from banishment in Aegina to serve under Themistocles against the Persians."
Thermopylae,38.803163454 22.557664436,-480,0,0,"August &ndash; The Persians achieve a naval victory over the Greeks in an engagement fought near Artemisium, a promontory on the north coast of Euboea. The Greek fleet holds its own against the Persians in three days of fighting but withdraws southward when news comes of the defeat at Thermopylae."
Thermopylae,38.803163454 22.557664436,-480,0,0,"Breaking through the pass at Thermopylae from Macedonia into Greece, the Persians occupy Attica."
Salamis Island,37.9333296 23.499998,-480,0,0,"An eclipse of the sun discourages the Greek army from following up the victory of Salamis. Xerxes returns to Persia leaving behind an army under Mardonius, which winters in Thessaly."
Veii,42.020999916 12.40083173,-480,0,0,Roman troops march against the Veintes.
Carthage,36.851829926 10.320498718,-480,0,0,"Xerxes encourages the Carthaginians to attack the Greeks in Sicily. Under the Carthaginian military leader, Hamilcar, Carthage sends across a large army."
Himera,37.9666628 13.8166634,-480,0,0,"The Greek city of Himera in Sicily, in its quarrel with Acragas, enlists Carthaginian support. With the help of Gelo, the tyrant of Syracuse, and Theron of Acragas, the Carthaginians are defeated in the Battle of Himera. After the defeat, Hamilcar kills himself."
Persepolis,29.933996264 52.888163114,-480,0,0,The Imperial treasury at the Persepolis Palace is completed after a building time of thirty years.
Aegina,37.749997 23.4333316,-480,0,0,"A sculpture of a ''Dying warrior'' is made in the left corner of the east pediment of the Temple of Aphaea in Aegina (approximate date). Today, it is preserved at the ''Staatliche Antikensammlungen und Glyptothek'' in Munich, Germany."
Acropolis Museum,37.9677153958 23.723754105,-480,0,0,"The sculpture of a ''Kritios Boy'' is made on Acropolis, Athens (approximate date). It is now preserved in the Acropolis Museum in Athens."
Thermopylae,38.803163454 22.557664436,-480,8,11,"August 11 &ndash; The Battle of Thermopylae ends in victory for the Persians under Xerxes. His army engulfs a force of 300 Spartans and 700 Thespiae under the Spartan King, Leonidas I. The Greeks under Leonidas resist the advance through Thermopylae of Xerxes' vast army. For two days Leonidas and his troops withstand the Persian attacks; he then orders most of his troops to retreat, and he and his 300-member royal guard fight to the last man."
Peloponnese,37.343165294 22.351331928,-480,9,21,"September 21 &ndash; The Persians sack Athens, whose citizens flee to Salamis and then Peloponnesus."
Salamis Island,37.9333296 23.499998,-480,9,28,"September 28 &ndash; The Battle of Salamis brings victory to the Greeks, whose Athenian general Themistocles lures the Persians into the Bay of Salamis, between the Athenian port-city of Piraeus and the island of Salamis. The Greek triremes then attack furiously, ramming or sinking many Persian vessels and boarding others. The Greeks sink about 200 Persian vessels while losing only about 40 of their own. The rest of the Persian fleet is scattered, and as a result Xerxes has to postpone his planned land offensives for a year, a delay that gives the Greek city-states time to unite against him."
Arcadia,37.583331 22.249999,-479,0,0,"The Persian commander Mardonius, now based in Thessaly, wins support from Argus and western Arcadia. He tries to win over Athens but fails."
Boeotia,38.8999964 22.5333312,-479,0,0,"27 August &ndash; The Battle of Plataea in Boeotia ends the Persian invasions of Greece as the Persian general Mardonius is routed by the Greeks under Pausanias, nephew of the former Spartan King, Leonidas I. The Athenian contingent is led by the repatriated Aristides. Mardonius is killed in the battle and the Greeks capture enormous amounts of loot. Thebes is captured shortly thereafter and the Theban collaborators executed by Pausanias."
Anatolia,39 32,-479,0,0,"27 August &ndash; Meanwhile at sea, the Persians are defeated by a Greek fleet headed by Leotychidas of Sparta and Xanthippus of Athens in the Battle of Mycale, off the coast of Lydia in Asia Minor."
Potidaea,40.1999992 23.333332,-479,0,0,Potidaea is struck by a tsunami.
Sparta,37.07583303 22.42083165,-478,0,0,"Despite Spartan opposition, Athens is refortified as well as rebuilt after the Persian destruction of the city."
Sparta,37.07583303 22.42083165,-478,0,0,"While Pausanias is occupying Byzantium, his arrogance and his adoption of Persian clothing and manners offends the allies and raises suspicions of disloyalty. Pausanias is recalled to Sparta, where he is tried and acquitted of the charge of treason, but he is not restored to his command."
Qufu,35.5999976 116.9833294,-478,0,0,A Temple of Confucius is established in (modern-day) Qufu.
Sparta,37.07583303 22.42083165,-477,0,0,The Spartan co-ruler Leotychides and the Athenian leader Themistocles lead a fleet and army to reoccupy northern Greece and to punish the aristocratic family of the Aleuads for having aided the Persians. Leotychides is caught accepting a bribe during the operations in Thessaly.
Delos,37.389331776 25.269332256,-477,0,0,"Greek maritime cities around the Aegean Sea no longer wish to be under Spartan control and at Delos offer their allegiance, through Aristides, to Athens. They form the Delian League (also known as the Confederacy of Delos) with Cimon as their principal commander."
Veii,42.020999916 12.40083173,-477,0,0,Roman forces in a stronghold on the Cremera River are defeated by an army of Veientes from the Etruscan city of Veii in the Battle of the Cremera.
Arcadia,37.583331 22.249999,-476,0,0,"Convicted in Sparta on the charge of accepting a bribe from the Aleudae family whilst leading an expedition to Thessaly against the family for their collaboration with the Persians, the Spartan King Leotychidas flees to the temple of Athena Alea in Tegea, Arcadia. A sentence of exile is passed upon him; his house is razed, and his grandson, Archidamus II, ascends the Spartan throne in his place."
Skyros,38.8999964 24.5499978,-475,0,0,Cimon leads an Athenian attack on the island of Skyros and expels the indigenous inhabitants who are regarded as pirates.
Thasos,40.68749725 24.653164054,-475,0,0,The painter Polygnotus of Thasos begins his work (approximate date).
Italy,41.8999964 12.4833314,-474,0,0,"Hiero I, tyrant of Sicily, allied with Aristodemus, the tyrant of Cumae, defeat the Etruscan navy in the Battle of Cumae as the Etruscans try to capture the Greek city of Cumae in Italy. This victory marks the end of the Etruscan aggression against the Greeks in southern Italy and saves the Greeks of Campania from Etruscan domination."
Ischia,40.7313 13.8957,-474,0,0,Hiero builds Castello Aragonese on the island of Ischia.
India,21 78,-474,0,0,"King Xerxes I of Persia issues a decree, as dictated by Mordecai upon the king's secretaries, giving the Jews in every city the authority to unite to defend their lives against their opponents in all of the 127 provinces of the Persian Empire, stretching from India to Ethiopia."
Euboea,38.499998 24.0,-472,0,0,Carystus in Euboea is forced to join the Delian League after the Athenians attack the city (approximate date).
Policastro Bussentino,40.0666664 15.5166646,-471,0,0,The colony of Pixunte (''Pixous'') is founded in Magna Graecia.
Sparta,37.07583303 22.42083165,-470,0,0,"Suspected of plotting to seize power in Sparta by instigating a helot uprising, Pausanias takes refuge in the Temple of Athena of the Brazen House to escape arrest. The sanctuary is respected, but the Spartans wall in the sanctuary and starve Pausanias to death."
Archaeological Museum of Olympia,37.6393807758 21.6242975028,-470,0,0,"The construction of the Temple of Zeus, begins at Olympia, Greece. This includes the relief sculpture (of which fragments now remain at the Archaeological Museum of Olympia) of ''Apollo with battling Lapiths and centaurs'' (approximate date)."
Delphi Archaeological Museum,38.4801 22.4997,-470,0,0,"The ''Charioteer'', in the Sanctuary of Apollo, Delphi, is created in commemoration of a victory in the Pythian Games of 478 or 474 BC (approximate date). It is now preserved at the Delphi Archaeological Museum."
Museum of Fine Arts Boston,42.336831986 -71.089832974,-470,0,0,Pan Painter makes a bell krater (an earthenware piece that is used to mix water and wine) which has a red-figure decoration of ''Artemis slaying Actaeon''. It is now preserved at the Museum of Fine Arts in Boston (approximate date).
Aegean Sea,36.4666648 22.9499962,-469,0,0,"Themistocles, after being exiled from Athens, makes his way across the Aegean to Magnesia, an inland Ionian city under Persian rule."
Tiryns,37.592997628 22.793163494,-468,0,0,"Sparta faces trouble near home, chiefly from Arcadia with the support of Argos. Argos regains control of Tiryns."
China,35.0 105.0,-468,0,0,Zhou Zhen Ding Wang becomes the twenty-eighth sovereign of the Chinese Zhou Dynasty.
Phaselis,36.52083125 30.551331128,-466,0,0,"Kimon carries the war against Persia into Asia Minor and wins the Battle of the Eurymedon in Pamphylia. This is a decisive defeat of the Persians as Kimon's land and sea forces capture the Persian camp and destroy or capture the entire Persian fleet of 200 triremes (manned by Phoenicians). Many new allies of Athens are now recruited, such as the trading city of Phaselis on the Lycian-Pamphylian border."
Apulia,41.005166646 16.507664636,-466,0,0,"The Greek colony of Taras, in Magna Graecia, is defeated by the native population of Apulia. As a result, the Tarentine monarchy falls, with the installation of a democracy."
Thasos,40.68749725 24.653164054,-465,0,0,"Thasos revolts from the Delian League. The revolt arises from rivalry over trade with the Thracian hinterland and, in particular, over the ownership of a gold mine. Athens under Kimon lays siege to Thasos after the Athenian fleet defeats the Thasos fleet."
Ancient Agora of Athens,37.97166278 23.720163786,-465,0,0,"Tholos, west side of Ancient Agora of Athens, is built (approximate date)."
464 BC Sparta earthquake,37.08 22.43,-464,0,0,Sparta suffers the effects of a severe earthquake leading to a large loss of life.
Ithome,37.18499926 21.92166298,-464,0,0,"When the Messenian helots (serfs) revolt against their Spartan masters following the severe earthquake, King Archidamus II organises the defence of Sparta. The helots fortify themselves at Mount Ithome."
Libya,27.4 17.6,-464,0,0,"Egypt seizes the opportunity created by the murder of Xerxes I to revolt against Persia. The revolt is led by Inaros, a Libyan."
Macedonia (Greece),40.749997 22.8999964,-463,0,0,"In Athens, the democratic statesman Ephialtes and the young Pericles attempt to get the oligarchic Kimon ostracized for allegedly receiving bribes. Kimon is charged by Pericles and other democratic politicians with having been bribed not to attack the King of Macedonia (who may have been suspected of covertly helping the Thasian rebels). Though Kimon is acquitted, his influence on the Athenian people is waning."
Magnesia Prefecture,39.3499986 22.9833294,-463,0,0,"Themistocles, who is in exile, approaches the Persian King Artaxerxes I seeking Persian help in regaining power in Athens. Artaxerxes is unwilling to help him, but instead gives him the satrapy of Magnesia."
Thasos,40.68749725 24.653164054,-463,0,0,"After a two year siege, Thasos falls to the Athenians under Kimon who compels the Thasians to destroy their walls, surrender their ships, pay an indemnity and an annual contribution to Athens."
Messenia,37.249999 21.83333,-462,0,0,"The Spartans try to conquer the mountain stronghold of Mt Ithome in Messenia, where a large force of rebellious helots have taken refuge. They ask their allies from the Persian Wars, including the Athenians, to help."
Sparta,37.07583303 22.42083165,-462,0,0,"Kimon seeks the support of Athens' citizens to providing help to Sparta. Although Ephialtes maintains that Sparta is Athens' rival for power and should be left to fend for itself, Kimon's view prevails. Kimon then leads 4,000 hoplites to Mount Ithome."
Areopagus,37.96999612 23.72083045,-462,0,0,"Ephialtes passes a law in the Athenian ecclesia, which reforms the Areopagus, limiting its power to judging cases of homicide and religious crimes. He considers the Areopagus to be the centre of conservatism and Ephialtes' victory is seen as a defeat for the conservatives and the members of the oligarchy."
Macedonia (Greece),40.749997 22.8999964,-462,0,0,"Argos, taking advantage of Spartan preoccupation with the revolt of its helots, finally conquers Mycenae. The inhabitants of the town are dispersed, with some finding their way into Macedonia."
Sparta,37.07583303 22.42083165,-461,0,0,"In Athens, Ephialtes and Pericles finally get agreement to the ostracism of Kimon, who had become unpopular for his unsuccessful pro-Spartan policy."
Areopagus,37.96999612 23.72083045,-461,0,0,"Ephialtes, with the support of Pericles, reduces the power of the Athenian Council of Areopagus (filled with ex-archons and so a stronghold of oligarchy) and transfers them to the people, i.e. the Council of Five Hundred, the Assembly and the popular law courts. The office of Judge is made a paid position and is recruited by lot from a list to which every citizen can have his name added."
Boeotia,38.8999964 22.5333312,-461,0,0,"Ephialtes is murdered by Aristodicus of Tanagra in Boeotia, who is said to have acted on behalf of members of the Athenian oligarchy."
Persepolis,29.933996264 52.888163114,-460,0,0,The construction of the ceremonial complex of Apadana (the audience hall of Darius I and Xerxes I) in Persepolis is completed.
Sparta,37.07583303 22.42083165,-460,0,0,"The First Peloponnesian War breaks out between the Delian League (led by Athens) and a Peloponnesian alliance (led by Sparta), caused in part by Athens' alliance with Megara and Argos and the subsequent reaction of Sparta. The Athenians have built long walls for the Megarans to their port at Nisaea, thereby earning the enmity of Megara's old rival Corinth."
Sparta,37.07583303 22.42083165,-460,0,0,Argos rises against Sparta. Athens supports Argos and Thessaly. The small force that is sent by Sparta to quell the uprising in Argos is defeated by a joint Athenian and Argos force at Oenoe.
Tusculum,41.798246 12.710716,-460,0,0,"Conflicts arise between the Roman patricians and plebians. There is also a revolt by Rome's slaves. During the revolt, the Campidoglio is held by the slaves for a lengthy period, along with the most important temples of Rome.  It is during this revolt that consul Publius Valerius Publicola dies. The revolt only ends with the arrival of an army from Tusculum, led by Tusculan dictator Lucius Mamilius. Meanwhile, Lucius Quinctius Cincinnatus is appointed as consul to replace Publicola."
Ancient Agora of Athens,37.97166278 23.720163786,-460,0,0,"Polygnotos of Thasos decorates the Painted Stoa, on the north side of Ancient Agora of Athens (approximate date)."
Italy,41.8999964 12.4833314,-460,0,0,"The construction of a sculpture of a ''Young Warrior'' (subsequently found in the sea off Riace, Italy) is begun and completed approximately ten years later. It is now preserved at the Museo Archeologico Nazionale, Reggio Calabria, Italy."
Olympia Greece,37.636164122 21.6249975,-460,0,0,The sculpture ''Apollo with battling Lapiths and centaurs'' is built on the west pediment of the Temple of Zeus in Olympia (approximate date). Only fragments remain and are today preserved at the Archaeological museum in Olympia.
Babylon,32.535164526 44.41916499,-459,0,0,"The Jewish priest Ezra assembles and leads a band of approximately 5,000 Jews from Babylon to Jerusalem."
Tusculum,41.798246 12.710716,-459,0,0,"The Aequi occupy Tusculum. In response to the threat, the Roman Senate decide to send an army to help the allied city, under the command of consul Lucius Cornelius Maluginensis. In addition, the consul Fabius Vibulanus, who was at that point besieging Antium, moves his forces to attack Tusculum. The Tusculans are able to recapture their city. A truce is then arranged with the Aequi."
Morgantina,37.4333316 14.4916647,-459,0,0,"The Sicilian town of Morgantina is destroyed by Ducetius, hellenised leader of the Siculi (according to Diodorus Siculus)."
Sparta,37.07583303 22.42083165,-458,0,0,Pleistoanax succeeds his father Pleistarchus as king of Sparta.
Aegina,37.749997 23.4333316,-458,0,0,"Aegina joins the Peloponnesian alliance, but their combined fleet is defeated by the Athenians in the Battle of Aegina. The Athenians, under the command of Leosthenes, land on the island of Aegina and besiege and defeat the city. Aegina is forced to pay tribute to Athens."
Phocis,38.499998 22.249999,-457,0,0,"Athens, the leader of the Delian League, comes into conflict with Corinth and its ally Sparta (leader of the Peloponnesian League) over Megara. Nicodemes of Sparta, regent for King Pleistoanax, leads an army of 11,500 hoplites into Boeotia to help Thebes put down a rebellion by Phocis."
Peloponnese,37.343165294 22.351331928,-457,0,0,"Athenian forces block the routes back to the Peloponnese, so the Spartans decide to remain in Boeotia and await the Athenian attack. The Athenians and their allies, with 14,000 men under the command of Myronides, meet the Spartans at Battle of Tanagra. The Spartans win the battle, but they lose many men and so are unable to follow up on their victory."
Phocis,38.499998 22.249999,-457,0,0,"The Athenians regroup after the battle and march into Boeotia. Led by Myronides, the Athenians defeat the Boeotians in the Battle of Oenophyta, and then destroy the walls of Tanagra and ravage Locris and Phocis."
Aegina,37.749997 23.4333316,-457,0,0,"Athens goes on to defeat Aegina later in the year, and to finish the construction of the Long Walls to the Athenian port of Piraeus (an action opposed by Sparta)."
Thasos,40.68749725 24.653164054,-457,0,0,"Boeotia, Phocis and Opuntian Locris become members of the Delian League. Athens now has enrolled in the Delian League all the Boeotian cities except Thebes. Aegina is forced to become a member of the League.  It is assessed, with Thasos, for a yearly contribution to the League of 30 talents."
Olympia Greece,37.636164122 21.6249975,-457,0,0,The Zeus Temple at Olympia is completed.  The forty-foot statue of Zeus inside it becomes one of the Seven Wonders of the Ancient World.
Olympia Greece,37.636164122 21.6249975,-456,0,0,The temple of Zeus in Olympia is finished.
Sparta,37.07583303 22.42083165,-455,0,0,"Athens, under Athenian general Tolmides, sends 100 ships around the Peloponnesus and they set fire to the Spartan naval base at Gythion. As a result, Athens gains the agreement of the Achaean cities to join the Delian League. Athenian forces then go on to attack the Spartan allies on the Corinthian Gulf. Athens is now able to confine Sparta to the southern Peloponnesus."
Nile Delta,30.8999964 31.1166662,-455,0,0,"The Athenians suffer a severe defeat in Egypt at the hands of the Persians. After being cut off in the Nile Delta, the Athenian fleet is defeated, and the Athenian army retreats across the Sinai Desert to Byblos before its remnants are rescued. The Egyptian rebel Inaros is crucified by the Persians. The Athenians decide against any further military activity in Egypt."
Sicyon,37.984104 22.711145,-454,0,0,"Pericles leads a naval expedition in the Corinthian Gulf, in which Athens defeats Achaea. He then attacks Sicyon and Acarnania, after which he unsuccessfully tries to take Oeniadea on the Corinthian Gulf, before returning to Athens."
Delos,37.389331776 25.269332256,-454,0,0,"Pericles declares that the Delian League's considerable treasury at Delos is not safe from the Persian navy and has the treasury transferred to Athens, thus strengthening Athens' power over the League."
Delos,37.389331776 25.269332256,-454,0,0,The treasury of the Delian League is moved from Delos to Athens.
Tyrrhenian Sea,44.0166666 9.8499966,-454,0,0,"Hostilities between Segesta and Selinunte, two Greek cities on Sicily, take place over access to the Tyrrhenian Sea."
Achaea,38.0854196583 21.8558999097,-453,0,0,"Achaea, on the southern shore of the Corinthian Gulf, becomes part of what is effectively now the Athenian Empire. The Delian League had changed from an alliance into an empire clearly under the control of Athens."
China,35.0 105.0,-453,0,0,"The Chinese city of Jinyang is severely flooded in the Battle of Jinyang, where the elite families of Jin, Zhao, Zhi, Wei, and Han, fight. The Wei and the Han swap allegiances to side with Zhao and eliminate the Zhi house."
Sparta,37.07583303 22.42083165,-451,0,0,"Hostilities among the Greek states come to a formal end with the agreement to the Five Years' Truce. Kimon negotiates the five years' truce with Sparta, in which Athens agrees to abandon its alliance with Argos, while Sparta promises to give up its alliance with Thebes. During the same year Argos signs the first Thirty-Years Peace with Sparta."
Greece,39 22,-450,0,0,"Athenian general Cimon sails to Cyprus with two hundred triremes of the Delian League. From there, he sends sixty ships to Egypt to help the Egyptians under Amyrtaeus, who is fighting the Persians in the Nile Delta. Cimon uses the remaining ships to aid an uprising of the Cypriot Greek city-states against Persian control of the island. Cimon lays siege to the Persians stronghold of Citium on the south west coast of Cyprus. However, the siege fails and Cyprus remains under Phoenician (and Persian) control."
Thasos,40.68749725 24.653164054,-450,0,0,Polygnotos of Thasos ceases his work (approximate date).
Ancient Agora of Athens,37.97166278 23.720163786,-450,0,0,"The old bouleuterion, the west side of the agora in Athens, is built (approximate date)."
