strain_barcode	Strain_Name	Collection_month	Collection_year	Country	Lab_contact	Source_details	Source_niche	Source_type	sample_accession	secondary_sample_accession	secondary_study_accession	study_accession	MLST_ACHTMAN_ST
SAL_FA3719AA	182010	10	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04575099	SRS1356639	SRP042645	PRJNA248792	11
SAL_BA4605AA	LB_SW824_0				THE SANGER CENTER				SAMEA2020306	ERS159707	ERP001671	PRJEB3186	11
SAL_EA7617AA	1516			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363390	SRS1219758	SRP042645	PRJNA248792	11
SAL_EA7305AA	29306			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363768	SRS1220073	SRP042645	PRJNA248792	11
SAL_BA6249AA	15MN00099	3	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03487591	SRS919000	SRP040026	PRJNA237212	11
SAL_BA4609AA	LB_PT4_14_1				THE SANGER CENTER				SAMEA2018791	ERS159705	ERP001671	PRJEB3186	11
SAL_CA4664AA	45969	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475378	SRS902062	SRP042645	PRJNA248792	11
SAL_EA7325AA	58582			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363748	SRS1220057	SRP042645	PRJNA248792	11
SAL_EA7524AA	29960			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363532	SRS1219858	SRP042645	PRJNA248792	11
SAL_CA5716AA	78703	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468585	SRS899179	SRP042645	PRJNA248792	11
SAL_BA0172AA	201000446-sc-2013-06-10T14:57:38Z-1611326				THE SANGER CENTER				SAMEA2078092	ERS255502	ERP001965	PRJEB634	11
SAL_DA1183AA	H122660488	6	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168692	SRS739958	SRP042645	PRJNA248792	11
SAL_CA0006AA	Ke304-sc-2012-07-27T11:52:27Z-1458210				THE SANGER CENTER				SAMEA1571940	ERS158477	ERP001625	PRJEB3164	11
SAL_CA5507AA	78695	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03468975	SRS899867	SRP042645	PRJNA248792	11
SAL_EA4199AA	CFSAN024748		2012	Chile	FDA/CFSAN	"Larus dominicanus; Kelp gull"	Wild Animal	Avian	SAMN03079693	SRS1041446	SRP018785	PRJNA186035	3000
SAL_DA3797AA	IEH-NGS-SAL-01228	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"patient isolate; Homo sapiens"	Human	Human	SAMN02952838	SRS694853	SRP018785	PRJNA186035	11
SAL_BA8387AA	83724	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479911	SRS906445	SRP042645	PRJNA248792	11
SAL_EA7422AA	53068			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363646	SRS1219970	SRP042645	PRJNA248792	11
SAL_BA4598AA	LB_SW824_7				THE SANGER CENTER				SAMEA2020307	ERS159710	ERP001671	PRJEB3186	11
SAL_BA6186AA	15MN00112	4	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03487601	SRS919038	SRP040026	PRJNA237212	11
SAL_CA2568AA	6432	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477493	SRS904044	SRP042645	PRJNA248792	11
SAL_CA4547AA	65124	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475495	SRS901961	SRP042645	PRJNA248792	11
SAL_BA4613AA	LB_PT4_13				THE SANGER CENTER				SAMEA2018770	ERS159703	ERP001671	PRJEB3186	11
SAL_EA7106AA	15256			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363967	SRS1220296	SRP042645	PRJNA248792	11
SAL_BA1841AA	FDA00001023	2	2007	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	dog treats	Feed	Animal Feed	SAMN02844408	SRS993369	SRP018785	PRJNA186035	11
SAL_FA3436AA	128203	6	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04576583	SRS1357872	SRP042645	PRJNA248792	11
SAL_CA4383AA	83287	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475663	SRS902186	SRP042645	PRJNA248792	11
SAL_EA0979AA	ASERH112876-sc-2013-02-28T11:34:20Z-1570900				THE SANGER CENTER				SAMEA1920561	ERS218059	ERP002103	PRJEB1271	11
SAL_CA9728AA	FDA00000397	3	2003	Netherlands	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	thyme leaves	Environment	Plant	SAMN02843782	SRS775878	SRP018785	PRJNA186035	11
SAL_CA1640AA	23065	6	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478218	SRS904722	SRP042645	PRJNA248792	11
SAL_BA9191AA	91277	2	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479566	SRS906053	SRP042645	PRJNA248792	11
SAL_BA2338AA	2015K-0433			United States	EDLB-CDC				SAMN03785522	SRS975590	SRP040281	PRJNA230403	11
SAL_GA3899AA	Sen_S3				CANTAB				SAMEA2173368	ERS341407	ERP003799	PRJEB4506	11
SAL_DA0541AA	H124400512	10	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169520	SRS740803	SRP042645	PRJNA248792	11
SAL_CA5118AA	70666	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469728	SRS900649	SRP042645	PRJNA248792	11
SAL_FA3807AA	143571	8	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574844	SRS1356556	SRP042645	PRJNA248792	11
SAL_DA1193AA	H121420346	4	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168644	SRS739948	SRP042645	PRJNA248792	11
SAL_AA9850AA	UY028-sc-2013-10-08T14:24:14Z-1711475				THE SANGER CENTER				SAMEA2201662	ERS354065	ERP003958	PRJEB4649	11
SAL_BA5612AA	A54059-sc-2012-11-09T12:21:51Z-1500196				THE SANGER CENTER				SAMEA1712382	ERS188260	ERP001965	PRJEB634	11
SAL_EA7757AA	53039			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04363245	SRS1219623	SRP042645	PRJNA248792	11
SAL_CA4943AA	79105	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469929	SRS900872	SRP042645	PRJNA248792	11
SAL_DA1022AA	H122780286	7	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168845	SRS740227	SRP042645	PRJNA248792	11
SAL_CA5363AA	69224	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469082	SRS900400	SRP042645	PRJNA248792	11
SAL_AA9806AA	UY050-sc-2013-10-08T14:24:40Z-1711497				THE SANGER CENTER				SAMEA2201684	ERS354087	ERP003958	PRJEB4649	11
SAL_CA5993AA	66480	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466477	SRS898631	SRP042645	PRJNA248792	11
SAL_CA1315AA	45614	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478392	SRS904911	SRP042645	PRJNA248792	11
SAL_FA3902AA	176347	10	2015	United Kingdom	Public Health England	ND	Food	ND	SAMN04574736	SRS1356204	SRP042645	PRJNA248792	11
SAL_CA5797AA	71394	11	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	ND	Food	ND	SAMN03468480	SRS899164	SRP042645	PRJNA248792	11
SAL_DA0953AA	H122740577	7	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03168976	SRS740310	SRP042645	PRJNA248792	11
SAL_CA4326AA	9283	5	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03475722	SRS902271	SRP042645	PRJNA248792	11
SAL_CA0110AA	36390	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479025	SRS905623	SRP042645	PRJNA248792	11
SAL_FA6846AA	NSW187	5	2016	Australia	Vitali Sintchenko	NSW ERL	Human	Laboratory					11
SAL_CA6610AA	59995	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03465860	SRS897997	SRP042645	PRJNA248792	11
SAL_BA1230AA	15MN00380	7	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03968891	SRS1025752	SRP040026	PRJNA237212	11
SAL_BA8596AA	IEH_NGS_SAL_00196	11	2006	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"Patient Isolate; Homo sapiens"	Human	Human	SAMN02265283	SRS469266	SRP018785	PRJNA186035	11
SAL_DA0667AA	H123120707	7	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169322	SRS740657	SRP042645	PRJNA248792	11
SAL_CA6776AA	44689	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03465687	SRS898079	SRP042645	PRJNA248792	11
SAL_DA0752AA	H123520427	8	2012	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03169209	SRS740572	SRP042645	PRJNA248792	11
SAL_CA3932AA	46014	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476118	SRS902672	SRP042645	PRJNA248792	11
SAL_FA4585AA	176352	10	2015	United Kingdom	Public Health England	ND	Food	ND	SAMN04600303	SRS1371322	SRP042645	PRJNA248792	11
SAL_BA4540AA	MM_SW824_14_1				THE SANGER CENTER				SAMEA2018881	ERS159739	ERP001671	PRJEB3186	11
SAL_EA6939AA	29236			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04364151	SRS1220514	SRP042645	PRJNA248792	11
SAL_FA4296AA	185896	11	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04600743	SRS1371767	SRP042645	PRJNA248792	11
SAL_CA2455AA	37010	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477606	SRS904230	SRP042645	PRJNA248792	11
SAL_BA3832AA	333519-sc-2013-04-16T07:33:28Z-1611113				THE SANGER CENTER				SAMEA2063195	ERS235932	ERP001965	PRJEB634	11
SAL_CA1320AA	9268	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478389	SRS904895	SRP042645	PRJNA248792	11
SAL_BA5131AA	PNUSAS000278			United States					SAMN03604080	SRS932293	SRP040281	PRJNA230403	11
SAL_EA3516AA	E2015014785	10	2015	United States	CFSAN	"homo sapiens; Feces"	Human	Human	SAMN04191574	SRS1127389	SRP040026	PRJNA237212	11
SAL_CA2809AA	69948	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477252	SRS903781	SRP042645	PRJNA248792	11
SAL_AA9873AA	UY016-sc-2013-10-08T14:24:01Z-1711463				THE SANGER CENTER				SAMEA2201650	ERS354053	ERP003958	PRJEB4649	11
SAL_CA3174AA	12132	5	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476875	SRS903377	SRP042645	PRJNA248792	11
SAL_CA2515AA	38768	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477546	SRS904080	SRP042645	PRJNA248792	11
SAL_CA1602AA	63730	10	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478238	SRS904748	SRP042645	PRJNA248792	11
SAL_CA1133AA	89883	2	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478545	SRS905163	SRP042645	PRJNA248792	11
SAL_CA2880AA	85708	2	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477169	SRS903687	SRP042645	PRJNA248792	11
SAL_CA5226AA	74303	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469615	SRS900544	SRP042645	PRJNA248792	11
SAL_CA6841AA	44748	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03465622	SRS897767	SRP042645	PRJNA248792	11
SAL_CA3007AA	90470	2	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477042	SRS903586	SRP042645	PRJNA248792	11
SAL_BA8968AA	5359	4	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479615	SRS906154	SRP042645	PRJNA248792	11
SAL_CA2919AA	69923	11	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477130	SRS903716	SRP042645	PRJNA248792	11
SAL_GA3060AA	351884				The Genome Center at Washington University School of Medicine in St. Louis				SAMN02937555	SRS666077	SRP044800	PRJNA168732	11
SAL_BA5663AA	CFSAN032485	1	2006	Argentina	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	chocolate mousse	Food	Composite Food	SAMN03492331	SRS923006	SRP057694	PRJNA271293	11
SAL_CA6921AA	85756	2	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03460533	SRS893673	SRP042645	PRJNA248792	11
SAL_EA6909AA	1862			United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04364184	SRS1220543	SRP042645	PRJNA248792	11
SAL_AA9874AA	UY015-sc-2013-10-08T12:35:24Z-1711462				THE SANGER CENTER				SAMEA2201436	ERS353813	ERP003958	PRJEB4649	11
SAL_BA4544AA	MM_SW824_10				THE SANGER CENTER				SAMEA2020473	ERS159737	ERP001671	PRJEB3186	11
SAL_AA9856AA	UY022-sc-2013-10-08T14:24:07Z-1711469				THE SANGER CENTER				SAMEA2201656	ERS354059	ERP003958	PRJEB4649	11
SAL_AA7187AA	NY57120805	7	2015	United States	None	"Stool/Fecal; Homo sapiens"	Human	Human	SAMN03892557	SRS1017011	SRP033012	PRJNA227458	11
SAL_CA4851AA	72321	12	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03473951	SRS901748	SRP042645	PRJNA248792	11
SAL_BA7953AA	45589	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03480124	SRS906633	SRP042645	PRJNA248792	11
SAL_AA9834AA	UY033-sc-2013-10-08T14:24:20Z-1711480				THE SANGER CENTER				SAMEA2201667	ERS354070	ERP003958	PRJEB4649	11
SAL_AA9863AA	UY0191-sc-2013-10-08T14:27:49Z-1711639				THE SANGER CENTER				SAMEA2201825	ERS354228	ERP003958	PRJEB4649	11
SAL_CA1623AA	99757	3	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03478226	SRS904823	SRP042645	PRJNA248792	11
SAL_DA9207AA	EC20121177			Canada		ND	Food	ND	SAMN02384315	SRS566170	SRP039437	PRJNA219482	11
SAL_CA4861AA	94267	3	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03473941	SRS901871	SRP042645	PRJNA248792	11
SAL_CA3359AA	83588	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476690	SRS903199	SRP042645	PRJNA248792	11
SAL_BA1136AA	NY-swgs1563	11	2014	United States	Wadsworth Center / NYSDOH	"Stool; Homo sapiens"	Human	Human	SAMN03272678	SRS801672	SRP033012	PRJNA227458	11
SAL_AA9830AA	UY037-sc-2013-10-08T14:24:25Z-1711484				THE SANGER CENTER				SAMEA2201671	ERS354074	ERP003958	PRJEB4649	11
SAL_BA4387AA	15MN00155	5	2015	United States	FOOD AND DRUG ADMINISTRATION CENTER FOR FOOD SAFETY AND APPLIED NUTRITION	"feces; Homo sapiens"	Human	Human	SAMN03658268	SRS942994	SRP040026	PRJNA237212	11
SAL_CA4990AA	79106	1	2015	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03469877	SRS900827	SRP042645	PRJNA248792	11
SAL_BA7498AA	25000	7	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03480355	SRS906853	SRP042645	PRJNA248792	11
SAL_BA4603AA	LB_SW824_1				THE SANGER CENTER				SAMEA2018792	ERS159708	ERP001671	PRJEB3186	11
SAL_BA5638AA	A12683-sc-2012-11-09T12:21:39Z-1500183				THE SANGER CENTER				SAMEA1712316	ERS188247	ERP001965	PRJEB634	11
SAL_CA3602AA	57105	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476448	SRS902995	SRP042645	PRJNA248792	11
SAL_CA3623AA	39513	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476427	SRS902968	SRP042645	PRJNA248792	11
SAL_CA3259AA	39507	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03476790	SRS903306	SRP042645	PRJNA248792	11
SAL_CA6245AA	46146	9	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03466225	SRS898368	SRP042645	PRJNA248792	11
SAL_FA4542AA	140585	7	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04600363	SRS1371389	SRP042645	PRJNA248792	11
SAL_CA2962AA	36381	8	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03477087	SRS903618	SRP042645	PRJNA248792	11
SAL_EA9783AA	P125109 / NCTC 13349				European Bioinformatics Institute		Human	Human	SAMEA1705941	ERS000072		PRJEA30687	11
SAL_AA9851AA	UY027-sc-2013-10-08T14:24:13Z-1711474				THE SANGER CENTER				SAMEA2201661	ERS354064	ERP003958	PRJEB4649	11
SAL_FA3964AA	164874	9	2015	United Kingdom	Public Health England	"Human; Homo sapiens"	Human	Human	SAMN04574533	SRS1356123	SRP042645	PRJNA248792	11
SAL_BA8804AA	22254	6	2014	United Kingdom	Gastrointestinal Bacteria Reference Unit Public Health England	"Human; Homo sapiens"	Human	Human	SAMN03479698	SRS906220	SRP042645	PRJNA248792	11
SAL_BA4550AA	MM_SW824_1				THE SANGER CENTER				SAMEA2020472	ERS159734	ERP001671	PRJEB3186	11
