file	ST	CC	serotype	study	studyst
ERR054282.fa	6012	-	3	Chewapreechasero3	6012
ERR054295.fa	4389	-	3	Chewapreechasero3	4389
ERR054297.fa	-	-	3	Chewapreechasero3	4389
ERR054434.fa	4389	-	3	Chewapreechasero3	4389
ERR054583.fa	4389	-	3	Chewapreechasero3	4389
ERR056770.fa	4389	-	3	Chewapreechasero3	4389
ERR056772.fa	4389	-	3	Chewapreechasero3	4389
ERR056793.fa	180	-	3	Chewapreechasero3	180
ERR060001.fa	4389	-	3	Chewapreechasero3	4389
ERR060018.fa	4389	-	3	Chewapreechasero3	4389
ERR063831.fa	4389	-	3	Chewapreechasero3	4389
ERR064159.fa	458	-	3	Chewapreechasero3	458
ERR067851.fa	-	-	3	Chewapreechasero3	SLV458
ERR273494.fa	458	-	3	Chewapreechasero3	458
ERR273535.fa	-	-	3	Chewapreechasero3	4389
ERR069731.fa	585	-	10	Croucher600	-
ERR069809.fa		-	10	Croucher600	-
ERR129088.fa	816	-	10A	Croucher600	-
ERR129126.fa	3290	-	10A	Croucher600	-
ERR129158.fa	816	-	10A	Croucher600	-
ERR129164.fa	816	-	10A	Croucher600	-
ERR129199.fa	816	-	10A	Croucher600	-
ERR129201.fa	97	-	10A	Croucher600	-
ERR124256.fa	97	-	10A	Croucher600	-
ERR124285.fa	461	-	10A	Croucher600	-
ERR065347.fa	585	-	10A	Croucher600	-
ERR065350.fa	585	-	10A	Croucher600	-
ERR068012.fa	816	-	10A	Croucher600	-
ERR068048.fa	97	-	10A	Croucher600	-
ERR067981.fa	816	-	10A	Croucher600	-
ERR069683.fa	816	-	10A	Croucher600	-
ERR069768.fa	1953	-	35F	Croucher600	-
ERR065968.fa	498	-	35F	Croucher600	-
ERR129051.fa	498	-	35F	Croucher600	-
ERR129058.fa	498	-	35F	Croucher600	-
ERR129090.fa	498	-	35F	Croucher600	-
ERR129113.fa	498	-	35F	Croucher600	-
ERR129132.fa	498	-	35F	Croucher600	-
ERR124237.fa	498	-	35F	Croucher600	-
ERR124265.fa	498	-	35F	Croucher600	-
ERR124282.fa	498	-	35F	Croucher600	-
ERR124304.fa	498	-	35F	Croucher600	-
ERR068013.fa	498	-	35F	Croucher600	-
ERR068018.fa	498	-	35F	Croucher600	-
ERR068020.fa	498	-	35F	Croucher600	-
ERR067977.fa	1916	-	35F	Croucher600	-
ERR069690.fa	498	-	35F	Croucher600	-
ERR069712.fa	498	-	35F	Croucher600	-
ERR069715.fa	498	-	35F	Croucher600	-
ERR069732.fa	1360	-	6A	Croucher600	-
ERR069740.fa	460	-	6A	Croucher600	-
ERR069746.fa	460	-	6A	Croucher600	-
ERR069755.fa	460	-	6A	Croucher600	-
ERR069765.fa	460	-	6A	Croucher600	-
ERR069770.fa		-	6A	Croucher600	-
ERR069812.fa		-	6A	Croucher600	-
ERR069823.fa	460	-	6A	Croucher600	-
ERR069835.fa	460	-	6A	Croucher600	-
ERR065962.fa	460	-	6A	Croucher600	-
ERR065967.fa	460	-	6A	Croucher600	-
ERR124231.fa	460	-	6A	Croucher600	-
ERR065344.fa	460	-	6A	Croucher600	-
ERR065292.fa	460	-	6A	Croucher600	-
ERR065330.fa	460	-	6A	Croucher600	-
ERR067964.fa	460	-	6A	Croucher600	-
ERR069719.fa	1919	-	6A	Croucher600	-
ERR069721.fa	460	-	6A	Croucher600	-
ERR069752.fa	1913	-	11A	Croucher600	-
ERR069760.fa		-	11A	Croucher600	-
ERR069801.fa		-	11A	Croucher600	-
ERR069804.fa	62	-	11A	Croucher600	-
ERR069822.fa	62	-	11A	Croucher600	-
ERR069837.fa	1913	-	11A	Croucher600	-
ERR069839.fa	62	-	11A	Croucher600	-
ERR065964.fa	62	-	11A	Croucher600	-
ERR129037.fa	62	-	11A	Croucher600	-
ERR129068.fa	62	-	11A	Croucher600	-
ERR129079.fa	62	-	11A	Croucher600	-
ERR129080.fa	3276	-	11A	Croucher600	-
ERR129093.fa	62	-	11A	Croucher600	-
ERR129127.fa	62	-	11A	Croucher600	-
ERR129131.fa	66	-	11A	Croucher600	-
ERR129137.fa	3291	-	11A	Croucher600	-
ERR129139.fa	62	-	11A	Croucher600	-
ERR129154.fa	62	-	11A	Croucher600	-
ERR129159.fa	62	-	11A	Croucher600	-
ERR129177.fa	62	-	11A	Croucher600	-
ERR129178.fa	62	-	11A	Croucher600	-
ERR129210.fa	62	-	11A	Croucher600	-
ERR129211.fa	62	-	11A	Croucher600	-
ERR129214.fa	62	-	11A	Croucher600	-
ERR129215.fa	62	-	11A	Croucher600	-
ERR124240.fa	62	-	11A	Croucher600	-
ERR124242.fa	62	-	11A	Croucher600	-
ERR124246.fa	62	-	11A	Croucher600	-
ERR124268.fa	62	-	11A	Croucher600	-
ERR124291.fa	62	-	11	Croucher600	-
ERR124296.fa	62	-	11A	Croucher600	-
ERR124298.fa	62	-	11A	Croucher600	-
ERR124302.fa	62	-	11A	Croucher600	-
ERR065308.fa	62	-	11A	Croucher600	-
ERR065310.fa	62	-	11A	Croucher600	-
ERR065326.fa	62	-	11A	Croucher600	-
ERR067985.fa	62	-	11A	Croucher600	-
ERR067986.fa	62	-	11A	Croucher600	-
ERR068000.fa	62	-	11A	Croucher600	-
ERR068040.fa	1933	-	11A	Croucher600	-
ERR068041.fa	408	-	11A	Croucher600	-
ERR068046.fa	62	-	11A	Croucher600	-
ERR068047.fa	62	-	11A	Croucher600	-
ERR067968.fa	62	-	11A	Croucher600	-
ERR069702.fa	62	-	11A	Croucher600	-
ERR069707.fa	62	-	11A	Croucher600	-
ERR069713.fa	62	-	11A	Croucher600	-
ERR069727.fa	62	-	11A	Croucher600	-
ERR129026.fa	63	-	15A	Croucher600	-
ERR129054.fa	3282	-	15A	Croucher600	-
ERR129060.fa	63	-	15A	Croucher600	-
ERR129061.fa	63	-	15A	Croucher600	-
ERR129198.fa	63	-	15A	Croucher600	-
ERR124239.fa	63	-	15A	Croucher600	-
ERR124249.fa	63	-	15A	Croucher600	-
ERR124272.fa	1915	-	15A	Croucher600	-
ERR124274.fa	1915	-	15A	Croucher600	-
ERR124283.fa	63	-	15A	Croucher600	-
ERR124300.fa	63	-	15A	Croucher600	-
ERR065293.fa	1914	-	15A	Croucher600	-
ERR065297.fa	63	-	15A	Croucher600	-
ERR065320.fa	63	-	15A	Croucher600	-
ERR065332.fa	63	-	15A	Croucher600	-
ERR068026.fa	63	-	15A	Croucher600	-
ERR068028.fa	63	-	15A	Croucher600	-
ERR068032.fa	63	-	15A	Croucher600	-
ERR068042.fa		-	15	Croucher600	-
ERR068049.fa	63	-	15A	Croucher600	-
ERR067978.fa	1915	-	15A	Croucher600	-
ERR069724.fa	63	-	15A	Croucher600	-
ERR069725.fa	63	-	15A	Croucher600	-
ERR124221.fa	63	-	19A	Croucher600	-
ERR069698.fa	63	-	19A	Croucher600	-
ERR069738.fa	1901	-	22F	Croucher600	-
ERR069767.fa	433	-	22F	Croucher600	-
ERR069778.fa	433	-	22F	Croucher600	-
ERR069783.fa	433	-	22F	Croucher600	-
ERR069836.fa	433	-	22F	Croucher600	-
ERR129096.fa	433	-	22F	Croucher600	-
ERR129156.fa	433	-	22F	Croucher600	-
ERR129204.fa	433	-	22F	Croucher600	-
ERR124248.fa	433	-	22F	Croucher600	-
ERR124260.fa	1901	-	22F	Croucher600	-
ERR124307.fa	433	-	22F	Croucher600	-
ERR124318.fa	433	-	22F	Croucher600	-
ERR065338.fa		-	22F	Croucher600	-
ERR065343.fa	433	-	22F	Croucher600	-
ERR067987.fa	1337	-	22F	Croucher600	-
ERR067995.fa	1337	-	22F	Croucher600	-
ERR067996.fa	433	-	22F	Croucher600	-
ERR068037.fa	433	-	22F	Croucher600	-
ERR067965.fa	433	-	22F	Croucher600	-
ERR069686.fa	433	-	22F	Croucher600	-
ERR069688.fa	433	-	22F	Croucher600	-
ERR129053.fa	156	-	11A	Croucher600	-
ERR129144.fa	162	-	15B/C	Croucher600	-
ERR129182.fa	3275	-	15B/C	Croucher600	-
ERR129196.fa	162	-	15B/C	Croucher600	-
ERR068010.fa		-	15	Croucher600	-
ERR129105.fa	1925	-	19A	Croucher600	-
ERR129195.fa	1925	-	19A	Croucher600	-
ERR067998.fa	1925	-	19A	Croucher600	-
ERR069714.fa	1925	-	19A	Croucher600	-
ERR069799.fa	156	-	9A	Croucher600	-
ERR069818.fa	156	-	9A	Croucher600	-
ERR124320.fa	156	-	9A	Croucher600	-
ERR065342.fa	156	-	9A	Croucher600	-
ERR129077.fa	162	-	9V	Croucher600	-
ERR065301.fa	156	-	9V	Croucher600	-
ERR124286.fa	199	-	15B/C	Croucher600	-
ERR124288.fa	3280	-	15B/C	Croucher600	-
ERR124294.fa	3280	-	15B/C	Croucher600	-
ERR124297.fa	3280	-	15B/C	Croucher600	-
ERR124319.fa	3280	-	15B/C	Croucher600	-
ERR129042.fa	338	-	23A	Croucher600	-
ERR129117.fa	338	-	23A	Croucher600	-
ERR129157.fa	338	-	23A	Croucher600	-
ERR129167.fa	338	-	23A	Croucher600	-
ERR129176.fa	338	-	23A	Croucher600	-
ERR129213.fa	338	-	23A	Croucher600	-
ERR124235.fa	338	-	23A	Croucher600	-
ERR124308.fa	338	-	23A	Croucher600	-
ERR065303.fa	338	-	23A	Croucher600	-
ERR068023.fa	338	-	23A	Croucher600	-
ERR069708.fa	338	-	23A	Croucher600	-
ERR129043.fa	1373	-	23B	Croucher600	-
ERR124227.fa	1373	-	23B	Croucher600	-
ERR068030.fa	342	-	23A	Croucher600	-
ERR069779.fa	1827	-	6B	Croucher600	-
ERR069786.fa	639	-	6B	Croucher600	-
ERR069798.fa		-	6	Croucher600	-
ERR065969.fa	138	-	6B	Croucher600	-
ERR065971.fa	138	-	6B	Croucher600	-
ERR129172.fa	138	-	6B	Croucher600	-
ERR069685.fa	138	-	6B	Croucher600	-
ERR069693.fa	176	-	6B	Croucher600	-
ERR129168.fa	138	-	6C	Croucher600	-
ERR129067.fa	191	-	7F	Croucher600	-
ERR129073.fa	191	-	7F	Croucher600	-
ERR124224.fa	191	-	7F	Croucher600	-
ERR124228.fa	191	-	7F	Croucher600	-
ERR124243.fa	191	-	7F	Croucher600	-
ERR124276.fa	191	-	7F	Croucher600	-
ERR124292.fa	191	-	7F	Croucher600	-
ERR124312.fa	191	-	7F	Croucher600	-
ERR067961.fa	191	-	7F	Croucher600	-
ERR069718.fa	191	-	7F	Croucher600	-
ERR069751.fa	199	-	15B/C	Croucher600	-
ERR069761.fa	1938	-	15B/C	Croucher600	-
ERR069774.fa	199	-	15B/C	Croucher600	-
ERR069795.fa	199	-	15B/C	Croucher600	-
ERR069828.fa		-	15	Croucher600	-
ERR069829.fa		-	15B/C	Croucher600	-
ERR069833.fa	199	-	15B/C	Croucher600	-
ERR065970.fa	199	-	15B/C	Croucher600	-
ERR065972.fa	199	-	15B/C	Croucher600	-
ERR065975.fa	199	-	15B/C	Croucher600	-
ERR129032.fa	199	-	15B/C	Croucher600	-
ERR129033.fa	199	-	15B/C	Croucher600	-
ERR129034.fa	3280	-	15B/C	Croucher600	-
ERR129046.fa	199	-	15B/C	Croucher600	-
ERR129081.fa	199	-	15B/C	Croucher600	-
ERR129091.fa	199	-	15B/C	Croucher600	-
ERR129121.fa	199	-	15B/C	Croucher600	-
ERR129125.fa	199	-	15B/C	Croucher600	-
ERR129129.fa	199	-	15B/C	Croucher600	-
ERR129149.fa	199	-	15B/C	Croucher600	-
ERR129174.fa	3286	-	15B/C	Croucher600	-
ERR129175.fa	199	-	15B/C	Croucher600	-
ERR129186.fa	199	-	15B/C	Croucher600	-
ERR129190.fa	199	-	15B/C	Croucher600	-
ERR124225.fa	199	-	15B/C	Croucher600	-
ERR124229.fa	199	-	15B/C	Croucher600	-
ERR124263.fa	199	-	15B/C	Croucher600	-
ERR124267.fa	199	-	15B/C	Croucher600	-
ERR124313.fa	199	-	15B/C	Croucher600	-
ERR065337.fa		-	15	Croucher600	-
ERR065340.fa	199	-	15B/C	Croucher600	-
ERR065287.fa	199	-	15B/C	Croucher600	-
ERR065288.fa	199	-	15B/C	Croucher600	-
ERR065291.fa	199	-	15B/C	Croucher600	-
ERR068034.fa	199	-	15B/C	Croucher600	-
ERR068038.fa	199	-	15B/C	Croucher600	-
ERR068044.fa	199	-	15B/C	Croucher600	-
ERR068045.fa	199	-	15B/C	Croucher600	-
ERR068050.fa	1932	-	15B/C	Croucher600	-
ERR067960.fa	199	-	15B/C	Croucher600	-
ERR067974.fa	199	-	15B/C	Croucher600	-
ERR069687.fa	199	-	15B/C	Croucher600	-
ERR069691.fa	199	-	15B/C	Croucher600	-
ERR069704.fa	199	-	15B/C	Croucher600	-
ERR069705.fa	199	-	15B/C	Croucher600	-
ERR069711.fa	199	-	15B/C	Croucher600	-
ERR129207.fa	199	-	15F	Croucher600	-
ERR124220.fa	199	-	15F	Croucher600	-
ERR124251.fa	199	-	15F	Croucher600	-
ERR065319.fa	199	-	15F	Croucher600	-
ERR069745.fa	199	-	19A	Croucher600	-
ERR069753.fa	199	-	19A	Croucher600	-
ERR069771.fa	199	-	19A	Croucher600	-
ERR069776.fa	1936	-	19A	Croucher600	-
ERR069781.fa	199	-	19A	Croucher600	-
ERR069794.fa	1936	-	19A	Croucher600	-
ERR069796.fa	199	-	19A	Croucher600	-
ERR069805.fa	199	-	19A	Croucher600	-
ERR069817.fa	199	-	19A	Croucher600	-
ERR069831.fa	199	-	19A	Croucher600	-
ERR129025.fa	1756	-	19A	Croucher600	-
ERR129059.fa	199	-	19A	Croucher600	-
ERR129063.fa	199	-	19A	Croucher600	-
ERR129072.fa	199	-	19A	Croucher600	-
ERR129108.fa	199	-	19A	Croucher600	-
ERR129112.fa	199	-	19A	Croucher600	-
ERR129118.fa	2344	-	19A	Croucher600	-
ERR129120.fa	199	-	19A	Croucher600	-
ERR129123.fa	10013	-	19A	Croucher600	-
ERR129140.fa	199	-	19A	Croucher600	-
ERR129142.fa	199	-	19A	Croucher600	-
ERR129153.fa	199	-	19A	Croucher600	-
ERR129160.fa	199	-	19A	Croucher600	-
ERR129170.fa	199	-	19A	Croucher600	-
ERR129183.fa	667	-	19A	Croucher600	-
ERR129197.fa	199	-	19A	Croucher600	-
ERR129209.fa	199	-	19A	Croucher600	-
ERR124234.fa	199	-	19A	Croucher600	-
ERR124269.fa	3279	-	19A	Croucher600	-
ERR124270.fa	876	-	19A	Croucher600	-
ERR124280.fa	667	-	19A	Croucher600	-
ERR124281.fa	667	-	19A	Croucher600	-
ERR124284.fa	199	-	19A	Croucher600	-
ERR124295.fa	1673	-	19A	Croucher600	-
ERR124315.fa	199	-	19A	Croucher600	-
ERR065305.fa	667	-	19A	Croucher600	-
ERR065317.fa	667	-	19A	Croucher600	-
ERR065323.fa	199	-	19A	Croucher600	-
ERR065328.fa	199	-	19A	Croucher600	-
ERR067984.fa	199	-	19A	Croucher600	-
ERR068008.fa	199	-	19A	Croucher600	-
ERR068011.fa	1935	-	19A	Croucher600	-
ERR068017.fa	199	-	19A	Croucher600	-
ERR068024.fa	199	-	19A	Croucher600	-
ERR069684.fa	199	-	19A	Croucher600	-
ERR069696.fa	199	-	19A	Croucher600	-
ERR069717.fa	199	-	19A	Croucher600	-
ERR069758.fa		-	7	Croucher600	-
ERR069807.fa		-	18C	Croucher600	-
ERR069780.fa	436	-	23A	Croucher600	-
ERR069826.fa	436	-	23A	Croucher600	-
ERR129055.fa	42	-	23A	Croucher600	-
ERR129065.fa	3287	-	23A	Croucher600	-
ERR129076.fa	438	-	23A	Croucher600	-
ERR129082.fa	190	-	23A	Croucher600	-
ERR129098.fa	438	-	23A	Croucher600	-
ERR129106.fa	1839	-	23A	Croucher600	-
ERR129116.fa	3285	-	23A	Croucher600	-
ERR129133.fa	42	-	23A	Croucher600	-
ERR129141.fa	1839	-	23A	Croucher600	-
ERR129146.fa	42	-	23F	Croucher600	-
ERR129205.fa	42	-	23A	Croucher600	-
ERR124287.fa	3289	-	23A	Croucher600	-
ERR065306.fa	1949	-	23A	Croucher600	-
ERR065307.fa	438	-	23A	Croucher600	-
ERR065311.fa	1839	-	23A	Croucher600	-
ERR065313.fa	438	-	23A	Croucher600	-
ERR065322.fa	1839	-	23A	Croucher600	-
ERR068027.fa	1839	-	23A	Croucher600	-
ERR067973.fa	1839	-	23A	Croucher600	-
ERR067976.fa	42	-	23A	Croucher600	-
ERR069802.fa	439	-	23B	Croucher600	-
ERR129029.fa	36	-	23B	Croucher600	-
ERR129052.fa	36	-	23B	Croucher600	-
ERR129100.fa	1847	-	23B	Croucher600	-
